5500000	0	0	0	0	0	30	30	0	0	0	50	30
5410000	0	0	0	0	5	24	29	0	0	0	0	29
5401000	0	0	0	4	0	24	28	0	0	0	0	28
5400100	0	0	3	0	0	24	27	0	0	0	0	27
5400010	0	2	0	0	0	24	26	0	0	0	0	26
5400001	1	0	0	0	0	24	25	0	0	0	0	25
5320000	0	0	0	0	10	18	0	28	0	0	0	28
5311000	0	0	0	4	5	18	0	0	0	0	0	27
5310100	0	0	3	0	5	18	0	0	0	0	0	26
5310010	0	2	0	0	5	18	0	0	0	0	0	25
5310001	1	0	0	0	5	18	0	0	0	0	0	24
5302000	0	0	0	8	0	18	0	26	0	0	0	26
5301100	0	0	3	4	0	18	0	0	0	0	0	25
5301010	0	2	0	4	0	18	0	0	0	0	0	24
5301001	1	0	0	4	0	18	0	0	0	0	0	23
5300200	0	0	6	0	0	18	0	24	0	0	0	24
5300110	0	2	3	0	0	18	0	0	0	0	0	23
5300101	1	0	3	0	0	18	0	0	0	0	0	22
5300020	0	4	0	0	0	18	0	22	0	0	0	22
5300011	1	2	0	0	0	18	0	0	0	0	0	21
5300002	2	0	0	0	0	18	0	20	0	0	0	20
5230000	0	0	0	0	15	12	0	27	0	0	0	27
5221000	0	0	0	4	10	12	0	0	0	0	0	26
5220100	0	0	3	0	10	12	0	0	0	0	0	25
5220010	0	2	0	0	10	12	0	0	0	0	0	24
5220001	1	0	0	0	10	12	0	0	0	0	0	23
5212000	0	0	0	8	5	12	0	0	0	0	0	25
5211100	0	0	3	4	5	12	0	0	25	0	0	24
5211010	0	2	0	4	5	12	0	0	0	0	0	23
5211001	1	0	0	4	5	12	0	0	0	0	0	22
5210200	0	0	6	0	5	12	0	0	0	0	0	23
5210110	0	2	3	0	5	12	0	0	0	0	0	22
5210101	1	0	3	0	5	12	0	0	0	0	0	21
5210020	0	4	0	0	5	12	0	0	0	0	0	21
5210011	1	2	0	0	5	12	0	0	0	0	0	20
5210002	2	0	0	0	5	12	0	0	0	0	0	19
5203000	0	0	0	12	0	12	0	24	0	0	0	24
5202100	0	0	3	8	0	12	0	0	0	0	0	23
5202010	0	2	0	8	0	12	0	0	0	0	0	22
5202001	1	0	0	8	0	12	0	0	0	0	0	21
